date,usage
2025-02-04,25.688
2025-02-05,22.495
2025-02-06,33.89
2025-02-07,32.773
2025-02-08,28.591
2025-02-09,34.07
2025-02-10,30.812
2025-02-11,29.516
2025-02-12,25.907
2025-02-13,33.134
2025-02-14,29.119
2025-02-15,27.915
2025-02-16,31.377
2025-02-17,35.755
2025-02-18,33.927
2025-02-19,32.812
2025-02-20,17.049
2025-02-21,11.417
2025-02-22,19.829
2025-02-23,22.344
2025-02-24,21.971
2025-02-25,22.648
2025-02-26,19.813
2025-02-27,27.9
2025-02-28,25.117
2025-03-01,23.117
2025-03-02,31.184
2025-03-03,25.238
2025-03-04,26.535
2025-03-05,15.966
2025-03-06,14.55
2025-03-07,8.975
2025-03-08,10.459
2025-03-09,16.166
2025-03-10,15.213
2025-03-11,24.447
2025-03-12,23.086
2025-03-13,26.069
2025-03-14,19.644
2025-03-15,29.84
2025-03-16,27.725
2025-03-17,22.938
2025-03-18,19.675
2025-03-19,20.9
2025-03-20,12.717
2025-03-21,13.517
2025-03-22,10.978
2025-03-23,17.997
2025-03-24,14.558
2025-03-25,16.67
2025-03-26,14.526
2025-03-27,14.876
2025-03-28,11.786
2025-03-29,20.824
2025-03-30,14.93
2025-03-31,14.24
2025-04-01,13.214
2025-04-02,12.63
2025-04-03,10.736
2025-04-04,10.159
2025-04-05,15.462
2025-04-06,13.078
2025-04-07,15.779
2025-04-08,14.22
2025-04-09,11.705
2025-04-10,14.857
2025-04-11,7.32
2025-04-12,10.624
2025-04-13,7.262
2025-04-14,11.166
2025-04-15,15.784
2025-04-16,16.767
2025-04-17,6.801
2025-04-18,7.18
2025-04-19,12.692
2025-04-20,17.739
2025-04-21,7.127
2025-04-22,12.695
2025-04-23,11.159
2025-04-24,12.224
2025-04-25,12.926
2025-04-26,10.275
2025-04-27,8.509
2025-04-28,9.492
2025-04-29,9.979
2025-04-30,8.746
2025-05-01,10.052
2025-05-02,6.404
2025-05-03,9.94
2025-05-04,15.396
2025-05-05,17.999
2025-05-06,13.863
2025-05-07,12.944
2025-05-08,11.225
2025-05-09,12.773
2025-05-10,9.557
2025-05-11,7.561
2025-05-12,8.314
2025-05-13,8.283
2025-05-14,7.548
2025-05-15,11.165
2025-05-16,8.756
2025-05-17,11.447
2025-05-18,8.57
2025-05-19,9.961
2025-05-20,9.313
2025-05-21,9.777
2025-05-22,13.413
2025-05-23,7.293
2025-05-24,12.538
2025-05-25,14.018
2025-05-26,4.803
2025-05-27,3.8
2025-05-28,3.219
2025-05-29,3.379
2025-05-30,3.613
2025-05-31,3.606
2025-06-01,10.166
2025-06-02,10.112
2025-06-03,6.897
2025-06-04,11.093
2025-06-05,12.014
2025-06-06,7.208
2025-06-07,10.873
2025-06-08,12.502
2025-06-09,10.889
2025-06-10,8.208
2025-06-11,10.829
2025-06-12,10.219
2025-06-13,7.835
2025-06-14,11.517
2025-06-15,5.409
2025-06-16,9.575
2025-06-17,8.583
2025-06-18,8.516
2025-06-19,9.682
2025-06-20,5.798
2025-06-21,9.08
2025-06-22,6.174
2025-06-23,11.411
2025-06-24,6.329
2025-06-25,9.875
2025-06-26,8.744
2025-06-27,8.575
2025-06-28,8.272
2025-06-29,7.202
2025-06-30,9.865
2025-07-01,9.787
2025-07-02,7.036
2025-07-03,8.91
2025-07-04,8.733
2025-07-05,10.265
2025-07-06,6.921
2025-07-07,10.026
2025-07-08,7.073
2025-07-09,7.537
2025-07-10,7.224
2025-07-11,6.392
2025-07-12,7.093
2025-07-13,8.829
2025-07-14,9.872
2025-07-15,12.358
2025-07-16,9.812
2025-07-17,8.822
